quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	chord_id	Chord/StemDirection	Chord/durationType	Clef/concertClefType	Clef/transposingClefType	Dynamic/offset	Dynamic/offset:x	Dynamic/offset:y	Dynamic/style	Dynamic/subtype	Dynamic/velocity	Rest/durationType
63	1.0	22	22	0	0	Rest	3/4	2	1	1/4	1.0												quarter
64	1.0	22	22	1/4	1/4	Chord	3/4	2	1	1/4	1.0	64	up	quarter									
65	1.0	22	22	1/2	1/2	Chord	3/4	2	1	1/4	1.0	65	up	quarter									
66	1.0	23	23	0	0	Chord	3/4	1	1	1/4	1.0	66	up	quarter									
67	2.0	23	23	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
66	1.0	23	23	0	0	Rest	3/4	2	1	1/4	1.0												quarter
67	1.0	23	23	1/4	1/4	Chord	3/4	2	1	1/4	1.0	67	up	quarter									
68	1.0	23	23	1/2	1/2	Chord	3/4	2	1	1/4	1.0	68	up	quarter									
69	1.0	24	24	0	0	Chord	3/4	1	1	1/4	1.0	69	up	quarter									
70	2.0	24	24	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
69	1.0	24	24	0	0	Rest	3/4	2	1	1/4	1.0												quarter
70	1.0	24	24	1/4	1/4	Chord	3/4	2	1	1/4	1.0	70	up	quarter									
71	1.0	24	24	1/2	1/2	Chord	3/4	2	1	1/4	1.0	71	up	quarter									
72	1.0	25	25	0	0	Chord	3/4	1	1	1/4	1.0	72	up	quarter									
73	2.0	25	25	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
72	1.0	25	25	0	0	Rest	3/4	2	1	1/4	1.0												quarter
73	1.0	25	25	1/4	1/4	Chord	3/4	2	1	1/4	1.0	73	up	quarter									
74	1.0	25	25	1/2	1/2	Chord	3/4	2	1	1/4	1.0	74	up	quarter									
75	1.0	26	26	0	0	Chord	3/4	1	1	1/4	1.0	75	up	quarter									
76	2.0	26	26	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
75	1.0	26	26	0	0	Rest	3/4	2	1	1/4	1.0												quarter
76	1.0	26	26	1/4	1/4	Chord	3/4	2	1	1/4	1.0	76	up	quarter									
77	1.0	26	26	1/2	1/2	Chord	3/4	2	1	1/4	1.0	77	up	quarter									
78	1.0	27	27	0	0	Chord	3/4	1	1	1/4	1.0	78	up	quarter									
79	2.0	27	27	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
78	1.0	27	27	0	0	Rest	3/4	2	1	1/4	1.0												quarter
79	1.0	27	27	1/4	1/4	Chord	3/4	2	1	1/4	1.0	79	up	quarter									
80	1.0	27	27	1/2	1/2	Chord	3/4	2	1	1/4	1.0	80	up	quarter									
81	1.0	28	28	0	0	Chord	3/4	1	1	1/4	1.0	81	up	quarter									
82	2.0	28	28	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
81	1.0	28	28	0	0	Rest	3/4	2	1	1/4	1.0												quarter
82	1.0	28	28	1/4	1/4	Chord	3/4	2	1	1/4	1.0	82	up	quarter									
83	1.0	28	28	1/2	1/2	Chord	3/4	2	1	1/4	1.0	83	up	quarter									
84	1.0	29	29	0	0	Chord	3/4	1	1	1/4	1.0	84	up	quarter									
85	2.0	29	29	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
84	1.0	29	29	0	0	Rest	3/4	2	1	1/4	1.0												quarter
85	1.0	29	29	1/4	1/4	Chord	3/4	2	1	1/4	1.0	85	up	quarter									
86	1.0	29	29	1/2	1/2	Chord	3/4	2	1	1/4	1.0	86	up	quarter									
87	1.0	30	30	0	0	Chord	3/4	1	1	1/4	1.0	87	up	quarter									
88	2.0	30	30	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
87	1.0	30	30	0	0	Rest	3/4	2	1	1/4	1.0												quarter
88	1.0	30	30	1/4	1/4	Chord	3/4	2	1	1/4	1.0	88	up	quarter									
89	1.0	30	30	1/2	1/2	Chord	3/4	2	1	1/4	1.0	89	up	quarter									
90	1.0	31	31	0	0	Chord	3/4	1	1	1/4	1.0	90	up	quarter									
91	2.0	31	31	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
90	1.0	31	31	0	0	Rest	3/4	2	1	1/4	1.0												quarter
91	1.0	31	31	1/4	1/4	Chord	3/4	2	1	1/4	1.0	91	up	quarter									
92	1.0	31	31	1/2	1/2	Chord	3/4	2	1	1/4	1.0	92	up	quarter									
93	1.0	32	32	0	0	Chord	3/4	1	1	1/4	1.0	93	up	quarter									
94	2.0	32	32	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
93	1.0	32	32	0	0	Rest	3/4	2	1	1/4	1.0												quarter
94	1.0	32	32	1/4	1/4	Chord	3/4	2	1	1/4	1.0	94	up	quarter									
95	1.0	32	32	1/2	1/2	Chord	3/4	2	1	1/4	1.0	95	up	quarter									
