quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	volta	chord_id	Beam	Chord/Lyrics/family	Chord/Lyrics/no	Chord/Lyrics/offset	Chord/Lyrics/offset:x	Chord/Lyrics/offset:y	Chord/Lyrics/syllabic	Chord/Lyrics/text	Chord/Lyrics/text/font	Chord/Lyrics/text/font:face	Chord/Lyrics/ticks	Chord/Lyrics/ticks_f	Chord/Spanner/Slur	Chord/Spanner/Slur/SlurSegment/o1	Chord/Spanner/Slur/SlurSegment/o1:x	Chord/Spanner/Slur/SlurSegment/o1:y	Chord/Spanner/Slur/SlurSegment/o2	Chord/Spanner/Slur/SlurSegment/o2:x	Chord/Spanner/Slur/SlurSegment/o2:y	Chord/Spanner/Slur/SlurSegment/o3	Chord/Spanner/Slur/SlurSegment/o3:x	Chord/Spanner/Slur/SlurSegment/o3:y	Chord/Spanner/Slur/SlurSegment/o4	Chord/Spanner/Slur/SlurSegment/o4:x	Chord/Spanner/Slur/SlurSegment/o4:y	Chord/Spanner/Slur/SlurSegment:no	Chord/Spanner/next/location/fractions	Chord/Spanner/prev/location/fractions	Chord/Spanner:type	Chord/dots	Chord/durationType	Chord/small	Clef/concertClefType	Clef/transposingClefType	Harmony/base	Harmony/extension	Harmony/name	Harmony/offset	Harmony/offset:x	Harmony/offset:y	Harmony/root	Rest/dots	Rest/duration	Rest/durationType	Rest/offset	Rest/offset:x	Rest/offset:y	Rest/small	Rest/visible	Spanner/HairPin/Segment/off2	Spanner/HairPin/Segment/off2:x	Spanner/HairPin/Segment/off2:y	Spanner/HairPin/Segment/offset	Spanner/HairPin/Segment/offset:x	Spanner/HairPin/Segment/offset:y	Spanner/HairPin/Segment/subtype	Spanner/HairPin/subtype	Spanner/next/location/fractions	Spanner/next/location/measures	Spanner/prev/location/fractions	Spanner/prev/location/measures	Spanner:type	Symbol/name	Symbol/offset	Symbol/offset:x	Symbol/offset:y	location/fractions
23	0.0	5	5	1/2	1/2	Beam	4/4	1	1	0				∅																																																																		
23	0.75	5	5	1/2	1/2	Chord	4/4	1	1	3/16	3/2		56		FreeSerif	1					t'en	/	Times New Roman																				1	eighth																																				
95/4	0.0	5	5	11/16	11/16	Spanner	4/4	1	1	0																																																					/	0	0	/	0	44.3886	0	0	-11/16	1			HairPin					
95/4	0.125	5	5	11/16	11/16	Chord	4/4	1	1	1/32	1		57		FreeSerif	1				end	sup	/	Times New Roman	60	1/32																			32nd																																				
191/8	0.125	5	5	23/32	23/32	Chord	4/4	1	1	1/32	1		58																															32nd																																				
24	0.0	5	5	3/4	3/4	Beam	4/4	1	1	0				∅																																																																		
24	0.25	5	5	3/4	3/4	Chord	4/4	1	1	1/16	1		59		FreeSerif	1					plie	/	Times New Roman																					16th																																				
97/4	0.25	5	5	13/16	13/16	Chord	4/4	1	1	1/16	1		60		FreeSerif	1				begin	é	/	Times New Roman																					16th																																				
49/2	0.25	5	5	7/8	7/8	Chord	4/4	1	1	1/16	1		61		FreeSerif	1				middle	cou	/	Times New Roman																					16th																																				
99/4	0.25	5	5	15/16	15/16	Chord	4/4	1	1	1/16	1		62		FreeSerif	1				end	te	/	Times New Roman																					16th																																				
25	0.0	6	6	0	0	Harmony	4/4	1	1	0																																							192	sus4	/	0	0	20																										
25	0.0	6	6	0	0	Spanner	4/4	1	1	0																																																															11/16	-1	HairPin					
25	0.0	6	6	0	0	Spanner	4/4	1	1	0																																																					/	-47.877	0	/	0	66.3606	0	1		1			HairPin					
25	1.0	6	6	0	0	Chord	4/4	1	1	1/4	1		63		FreeSerif	1				middle	ma	/	Times New Roman																					quarter																																				
26	0.0	6	6	1/4	1/4	Harmony	4/4	1	1	0																																							1		/	0	0	20																										
26	0.0	6	6	1/4	1/4	Beam	4/4	1	1	0				∅																																																																		
26	0.75	6	6	1/4	1/4	Chord	4/4	1	1	3/16	3/2		64		FreeSerif	1				end	voix,	/	Times New Roman																				1	eighth																																				
107/4	0.25	6	6	7/16	7/16	Chord	4/4	1	1	1/16	1		65		FreeSerif	1				begin	et	/	Times New Roman																					16th																																				
27	0.0	6	6	1/2	1/2	Harmony	4/4	1	1	0																																							64	7	/	0	0	12																										
27	0.75	6	6	1/2	1/2	Chord	4/4	1	1	3/16	3/2		66		FreeSerif	1				end	si	/	Times New Roman																				1	eighth																																				
111/4	0.25	6	6	11/16	11/16	Chord	4/4	1	1	1/16	1		67		FreeSerif	1				begin	j'ou	/	Times New Roman																					16th																																				
28	0.0	6	6	3/4	3/4	Beam	4/4	1	1	0				∅																																																																		
28	0.25	6	6	3/4	3/4	Chord	4/4	1	1	1/16	1		68		FreeSerif	1				end	blie	/	Times New Roman	120	1/16	∅														1/16		Slur		16th																																				
113/4	0.25	6	6	13/16	13/16	Chord	4/4	1	1	1/16	1		69																												-1/16	Slur		16th																																				
57/2	0.25	6	6	7/8	7/8	Chord	4/4	1	1	1/16	1		70		FreeSerif	1					les	/	Times New Roman																					16th																																				
115/4	0.25	6	6	15/16	15/16	Chord	4/4	1	1	1/16	1		71		FreeSerif	1					mots	/	Times New Roman	120	1/16																			16th																																				
29	0.25	6	6	1	1	Chord	4/4	1	1	1/16	1		72																															16th																																				
117/4	0.25	6	6	17/16	17/16	Chord	4/4	1	1	1/16	1		73		FreeSerif	1				begin	d'autre	/	Times New Roman																					16th																																				
59/2	0.5	6	6	9/8	9/8	Rest	4/4	1	1	1/8	1																																														eighth	/	29.9981	13	1	0																		
30	0.0	7	7	0	0	Harmony	4/4	1	1	0																																							16	m				18																										
30	0.0	7	7	0	0	Spanner	4/4	1	1	0																																																																-1	HairPin					
30	1.5	7	7	0	0	Chord	4/4	1	1	3/8	3/2		74		FreeSerif	1				end	fois.	/	Times New Roman																				1	quarter																																				
63/2	0.0	7	7	3/8	3/8	Spanner	4/4	1	1	0																																																					/	-4.07974	0	/	0	65.1028	0	0	-3/8	1			HairPin					
63/2	0.0	7	7	3/8	3/8	Beam	4/4	1	1	0				∅																																																																		
63/2	0.25	7	7	3/8	3/8	Chord	4/4	1	1	1/16	1		75		FreeSerif	1					Vier	/	Times New Roman	120	1/16	∅														1/16		Slur		16th																																				
127/4	0.25	7	7	7/16	7/16	Chord	4/4	1	1	1/16	1		76																												-1/16	Slur		16th																																				
32	0.0	7	7	1/2	1/2	Harmony	4/4	1	1	0																																							1					16																										
32	0.75	7	7	1/2	1/2	Chord	4/4	1	1	3/16	3/2		77		FreeSerif	1					ge	/	Times New Roman																				1	eighth																																				
