quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
87/2	0.5	9	9		7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	105
44	0.75	10	10		0	0	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	106
179/4	0.25	10	10		3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	107
45	0.25	10	10		1/4	1/4	4/4	1	1	1/16	1/16	1		3	69	A4	4	108
181/4	0.25	10	10		5/16	5/16	4/4	1	1	1/16	1/16	1		8	68	G#4	4	109
91/2	0.25	10	10		3/8	3/8	4/4	1	1	1/16	1/16	1		3	69	A4	4	110
183/4	0.25	10	10		7/16	7/16	4/4	1	1	1/16	1/16	1		0	72	C5	5	111
46	0.25	10	10		1/2	1/2	4/4	1	1	1/16	1/16	1		5	71	B4	4	112
185/4	0.25	10	10		9/16	9/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	113
93/2	1.0	10	10		5/8	5/8	4/4	1	1	1/4	1/4	1		1	67	G4	4	114
97/2	0.5	10	10		9/8	9/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	115
49	0.75	11	11		0	0	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	116
199/4	0.25	11	11		3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	117
50	0.375	11	11		1/4	1/4	4/4	1	1	3/32	1/16	3/2		5	71	B4	4	118
403/8	0.125	11	11		11/32	11/32	4/4	1	1	1/32	1/32	1		5	71	B4	4	119
101/2	0.25	11	11		3/8	3/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	120
203/4	0.25	11	11		7/16	7/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	121
51	0.25	11	11		1/2	1/2	4/4	1	1	1/16	1/16	1		5	71	B4	4	122
205/4	0.25	11	11		9/16	9/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	123
103/2	0.25	11	11		5/8	5/8	4/4	1	1	1/16	1/16	1		0	72	C5	5	124
207/4	0.5	11	11		11/16	11/16	4/4	1	1	1/8	1/8	1		0	72	C5	5	125
211/4	0.25	11	11		15/16	15/16	4/4	1	1	1/16	1/16	1		4	64	E4	4	126
53	0.5	12	12		0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	127
107/2	0.75	12	12		1/8	1/8	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	128
217/4	0.5	12	12		5/16	5/16	4/4	1	1	1/8	1/8	1		3	69	A4	4	129
219/4	0.25	12	12		7/16	7/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	130
55	0.25	12	12		1/2	1/2	4/4	1	1	1/16	1/16	1		6	66	F#4	4	131
221/4	0.25	12	12		9/16	9/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	132
111/2	0.25	12	12		5/8	5/8	4/4	1	1	1/16	1/16	1		-2	70	Bb4	4	133
223/4	0.25	12	12		11/16	11/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	134
56	0.25	12	12		3/4	3/4	4/4	1	1	1/16	1/16	1		1	67	G4	4	135
225/4	0.75	12	12		13/16	13/16	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	136
57	1.5	13	13		0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	137
237/4	0.25	13	13		9/16	9/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	138
119/2	1.0	13	13		5/8	5/8	4/4	1	1	1/4	1/4	1		5	71	B4	4	139
121/2	0.75	13	13		7/8	7/8	4/4	1	1	3/16	1/8	3/2		5	71	B4	4	140
245/4	0.25	13	13		17/16	17/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	141
	4.0	14	14	1	0	0	4/4	1	1	1	1	1		1	67	G4	4	142
61	4.0	15	15	2	0	0	4/4	1	1	1	1	1		1	67	G4	4	143
